id,nombre,apellido,email,telefono,direccion,ciudad,estado,codigo_postal,pais,empresa,puesto,fecha_registro,fecha_ultima_compra,producto_favorito,monto_total_compras,frecuencia_compra,metodo_pago,activo,notas,fecha_nacimiento,genero,nivel_ingresos,nivel_satisfaccion,cliente_recurrente,nps,descuento,tipo_cliente,referido_por,region
5b1828d7-392f-4d7c-9620-3f76acbd504b,Jennifer,Torres,derek82@example.com,503.431.2137x34906,791 Harris Overpass,Morenochester,Mississippi,78730,Germany,Santos Inc,Trade union research officer,2024-01-11,2024-05-16,exist,7718.6,Baja,PayPal,False,Show carry business support.,1978-03-06,F,Medio,6,True,-83,14%,Nuevo,Kevin Smith,Oeste
3c92ad7e-03c6-455a-85ca-893abd1f1204,Michelle,Rice,kristin92@example.com,(680)222-6296x069,98087 Tammy Spring,South Laura,New Hampshire,04952,Syrian Arab Republic,Armstrong and Sons,"Pharmacist, hospital",2024-07-22,2024-09-22,choose,4575.77,Baja,PayPal,True,Laugh total only example soon.,1977-09-12,F,Medio,6,False,-33,50%,Nuevo,Denise Wallace,Este
0457f880-ff87-481b-9731-34ac87117a18,Charles,Turner,elizabeth07@example.org,001-748-883-2906x26395,82662 Nancy Heights,Sandersmouth,Mississippi,12615,Jamaica,"Rice, Bullock and Kaiser",Archivist,2024-03-01,2024-11-05,product,5882.09,Media,Transferencia,True,Size decide interesting let trip life.,2005-05-19,M,Alto,3,False,33,48%,VIP,George Luna,Este
bee2bc45-a996-431e-a655-c26f5c7a5b62,Brandon,Green,davenportrobert@example.org,+1-769-855-2577x436,175 Ryan Parkways Apt. 434,Caitlinbury,West Virginia,48906,Oman,Delgado Inc,Risk manager,2025-04-24,2024-09-24,attack,1381.55,Baja,Transferencia,True,Final seat him.,1988-09-03,M,Medio,3,False,-18,41%,Nuevo,Travis Taylor,Oeste
99968e99-b8f5-4261-89d1-cfed30ac6af3,Bradley,Jones,rachel06@example.org,001-641-521-7433x7508,40863 Olivia Throughway Apt. 201,Reyesburgh,Rhode Island,93098,Montserrat,Fox Inc,Geographical information systems officer,2024-04-24,2024-07-28,account,7895.22,Alta,PayPal,False,Item meeting dark.,1994-11-02,F,Bajo,8,False,-29,2%,Potencial,Jason Walker,Este
3a3ad08d-bcec-4069-a674-51bc75094972,John,Haynes,kennethnelson@example.net,+1-615-627-3731x81544,214 Colin Port Apt. 005,Alanbury,Maine,71531,Lao People's Democratic Republic,Davis-Jones,"Education officer, community",2023-10-17,2024-08-06,describe,500.24,Media,Tarjeta,True,Education specific amount alone.,1959-07-19,F,Medio,9,True,0,25%,VIP,Joanne Barber,Oeste
52544db4-4fea-4196-a48e-ef245f4a9461,Joseph,Allen,andrew63@example.net,+1-711-298-5193x9898,235 Haley Ranch,Jenniferhaven,South Dakota,59465,Martinique,"Mason, Saunders and Humphrey","Doctor, general practice",2023-11-17,2025-04-18,music,4266.71,Media,PayPal,True,Gas understand north event.,1977-12-12,Otro,Bajo,4,True,17,23%,Nuevo,Melissa Meyer,Internacional
dd2d69ea-5b70-45a0-b2f5-7d8bfc849468,Nicole,Ramos,davidfoster@example.org,307-673-9037,1978 Marshall Extensions,Lake Amandatown,Utah,23433,Mongolia,Mcintosh-Jones,Herbalist,2023-06-30,2024-05-10,way,5177.97,Alta,PayPal,True,Morning only organization per.,2004-04-02,F,Alto,2,True,28,20%,Nuevo,Shelia Carrillo,Norte
9378b6ab-4b30-4aff-ad0c-d00558562b39,Nicole,Cantrell,bcross@example.org,586.466.1408x5659,256 Graham Knoll Suite 615,Port Stacey,Georgia,25801,Qatar,Wolf Inc,Field trials officer,2025-02-26,2025-03-07,window,9795.15,Baja,Tarjeta,True,Left air page north mission away.,1988-07-12,Otro,Alto,6,True,77,28%,VIP,Mark Sawyer,Internacional
cc42977e-a554-41ba-8992-d867d01c7883,Oscar,Wilson,fcurtis@example.net,246-893-9229x47733,927 Shane Rue,Flynnland,Wisconsin,57671,United States Minor Outlying Islands,White-Clark,"Research officer, political party",2024-02-16,2024-07-03,something,120.87,Media,PayPal,False,Republican why already live mean brother.,1977-01-31,Otro,Bajo,9,False,-72,15%,VIP,Cindy Harris,Norte
2f5b4918-6cbf-4c7f-acc7-26c7bfffacce,Nathaniel,Martin,amber51@example.org,001-871-312-0137x190,5660 Miranda Mall Suite 470,South Paulborough,Ohio,71902,French Polynesia,Ross-Leonard,"Presenter, broadcasting",2024-07-14,2024-09-04,discover,6824.11,Baja,PayPal,True,Explain available senior without can next benefit almost.,1996-02-03,M,Alto,7,True,71,10%,Potencial,Maria Mejia,Sur
d756cc7e-6067-4ca8-aa66-3abf849af66d,Emily,Hogan,victoria25@example.net,624.288.0875,723 Briggs Club Suite 535,Deborahstad,Pennsylvania,82323,Timor-Leste,"Johnston, Whitaker and Cervantes",Air cabin crew,2024-12-30,2024-09-30,leader,8391.71,Alta,Efectivo,True,Treat behind chance born stay cold.,1984-05-02,M,Medio,9,False,96,2%,Nuevo,Ashley Maynard,Norte
4b04bbee-05be-41fb-a263-0961156a98ba,Rebecca,Perry,monicacortez@example.com,+1-687-811-8584,1665 Jordan Bypass Suite 360,Whitakerburgh,New York,98814,Lithuania,"Berger, Bender and Carrillo",Mining engineer,2024-07-25,2024-07-11,seat,7814.28,Alta,Efectivo,False,World within hotel.,1986-04-19,Otro,Medio,1,False,19,28%,Potencial,Samantha Wood,Oeste
a00a79a5-9164-46a8-acdb-c65f4b9ac039,Laurie,Lee,rkelly@example.net,(932)583-3792x3473,7308 Christopher Flat,Aprilburgh,Rhode Island,12067,Western Sahara,"Gonzalez, Schultz and Fletcher",Retail merchandiser,2024-03-13,2025-01-19,note,5705.87,Media,Efectivo,False,Wife activity eye site.,1988-05-14,M,Medio,1,True,69,28%,Potencial,Jessica Bailey,Internacional
df3b9565-2086-409c-b697-4e39f34ae0b1,Stephen,Ball,russellmark@example.com,421.557.0155x8279,8780 Wood Inlet,Mariahmouth,Wisconsin,09572,Ireland,Bennett Group,Musician,2025-02-20,2025-04-24,TV,3577.47,Media,Tarjeta,True,Everybody newspaper good series interesting.,1992-11-25,Otro,Medio,4,False,46,8%,Leal,Emily Perez,Sur
3a00e7ef-5d72-460b-90fd-cc09a500a7c0,Teresa,Winters,stanley13@example.com,001-624-584-0213x05547,9050 Morrow Rapids Apt. 254,New Christinabury,Alaska,50167,Costa Rica,Gill LLC,"Engineer, chemical",2024-12-02,2025-04-16,second,278.23,Alta,Transferencia,False,Main green increase commercial.,1981-07-01,F,Medio,4,True,9,42%,Nuevo,Heather Chavez,Este
0c54aeed-e250-4be8-8058-880ac924a560,Jason,Logan,carrie22@example.com,(625)414-4762x99089,657 Laura Extensions Suite 437,Hendersonburgh,Montana,26025,Yemen,Pugh-West,Adult guidance worker,2023-10-23,2025-03-22,writer,5280.82,Alta,PayPal,True,Can real might institution.,1979-01-01,M,Bajo,5,False,-85,14%,VIP,Samantha Webb,Este
100470d4-ff51-4658-9a74-b0a7e95029df,Kayla,Lopez,johnjuarez@example.net,(838)710-0246,918 Hensley Manors,South Kayla,Minnesota,37617,Korea,"Herring, Soto and Patel","Engineer, biomedical",2024-10-28,2025-01-13,less,335.9,Alta,Efectivo,True,Scene position surface possible.,1981-01-18,F,Alto,2,True,-40,19%,Potencial,Stephanie Nelson,Sur
388cb8d4-773d-4926-ab9e-5a908e6a585d,Jeremy,Carlson,sparker@example.org,(366)457-7979x2775,582 Diaz Spring Suite 370,Lake Angela,Ohio,70892,Hungary,Castillo-Wood,Chartered certified accountant,2024-12-16,2024-07-14,throughout,5576.67,Baja,Transferencia,True,None ability think about.,1986-06-15,M,Bajo,1,False,-97,0%,Potencial,Jennifer Pena DDS,Oeste
85ee3b72-90df-4bc2-974a-2899dc524de2,Matthew,Alvarez,harmoncharlotte@example.org,262.287.0068x12900,81894 Amber Gardens,Lake Francisco,New Mexico,75009,Niue,Perkins-Roman,"Radiographer, therapeutic",2023-07-20,2024-09-27,cultural,9262.35,Baja,PayPal,False,Reality growth none.,1995-02-04,M,Alto,10,True,-33,45%,Leal,Angela Rich DVM,Oeste
