id,nombre,apellido,email,telefono,direccion,ciudad,estado,codigo_postal,pais,empresa,puesto,fecha_registro,fecha_ultima_compra,producto_favorito,monto_total_compras,frecuencia_compra,metodo_pago,activo,notas,fecha_nacimiento,genero,nivel_ingresos,nivel_satisfaccion,cliente_recurrente,nps,descuento,tipo_cliente,referido_por,region
01fd503a-80e1-4569-8d21-80302ddaff23,Andrea,Klein,jillthompson@example.org,889-843-0621x56512,67734 John Streets Suite 678,Grantville,New Mexico,68620,Panama,Ball-Martin,Energy manager,2024-03-12,2024-07-18,give,9507.77,Baja,PayPal,True,Forward final play yes pass.,1972-12-03,F,Alto,3,False,-48,49%,Nuevo,Heather Hall,Sur
069b6c75-7ae9-4dc7-9ac6-eb81d8b2515f,Jill,Green,sarah07@example.org,709.426.1948,056 James Underpass,New Melvin,Arizona,77285,Cayman Islands,"Cook, Robinson and Goodman",Agricultural engineer,2025-03-02,2024-09-07,rich,8266.2,Alta,Transferencia,True,Base method camera least.,1983-04-22,M,Medio,1,True,-7,9%,Leal,Jo Wagner,Norte
7bc6b565-7a1b-4533-ae99-be2496d1cb9b,Daniel,Carter,carrie58@example.com,(544)972-8598,812 Sparks Prairie Suite 403,Parkerland,Arizona,82314,New Zealand,Neal PLC,Paediatric nurse,2025-03-13,2024-12-22,beyond,6583.89,Alta,Efectivo,False,Theory along and pay current whom.,1973-10-28,F,Medio,5,False,35,8%,Potencial,Crystal Orr,Sur
38d42be7-0321-4f5b-921b-48d2b578d423,Brian,Fuller,ehanson@example.com,+1-451-895-7211x56528,08268 Jack Track,South Lisaton,Pennsylvania,51554,Hungary,Maldonado Inc,"Conservation officer, nature",2024-11-18,2024-05-02,politics,2710.36,Baja,Transferencia,True,Every society degree now response.,1979-11-22,M,Bajo,10,False,61,26%,VIP,Nathan Davis,Internacional
3e50644e-74a7-424f-8da7-cb11f816e134,Christopher,Jones,tschneider@example.com,8714691571,5063 Seth Pass,West Pamela,Ohio,63361,Holy See (Vatican City State),Rodriguez-Reynolds,Market researcher,2025-03-11,2024-05-03,house,4683.23,Alta,Tarjeta,True,Trial democratic court despite mouth staff air.,1987-04-02,Otro,Bajo,10,True,-43,4%,Leal,Christopher Boyd,Este
9802fbb2-cdf8-41c7-9368-3ddd3f6ab65d,Andrew,Ashley,cjones@example.net,681-910-7005,734 Cook Camp,Jacobsville,Idaho,36433,Anguilla,Key Group,Site engineer,2023-08-14,2025-03-02,human,4354.27,Media,Transferencia,False,Reveal long increase necessary kind together follow.,1994-12-12,Otro,Alto,6,False,-30,20%,Potencial,Louis Bowman,Este
edc7441f-9a14-47e3-9987-610c37800fca,Leslie,Juarez,smithronald@example.com,001-262-640-8712x4653,577 Lee Shore Suite 146,Masonberg,West Virginia,83760,Aruba,Howard LLC,"Production assistant, radio",2024-10-13,2024-08-20,make,2874.04,Alta,Tarjeta,False,Because he happy true.,1987-08-25,M,Bajo,6,True,51,3%,VIP,Anna Reynolds,Norte
969f1557-84a4-491a-a9b7-6b92575c6a32,Kimberly,Perry,eschaefer@example.net,+1-697-393-8581x55065,07044 Michelle Valleys Apt. 452,Karenside,Idaho,54734,Bahrain,Ross-Fletcher,Research scientist (medical),2024-05-26,2024-11-06,statement,9152.69,Baja,Transferencia,True,Thank join keep it country true over.,1969-12-01,Otro,Alto,10,True,71,36%,VIP,Larry Shepherd,Oeste
8223f21a-9562-4c46-bc43-2842a47c9eaf,Ricky,Cook,pwarren@example.com,748-846-7689x905,6417 Hansen Dam Suite 380,South Katie,New Jersey,96621,Sao Tome and Principe,Glass-Taylor,"Buyer, retail",2024-10-10,2024-12-20,animal,3842.88,Media,Tarjeta,True,Knowledge bill enough world less executive lose.,1960-04-11,F,Medio,5,False,-18,22%,Potencial,Jason Jones,Oeste
49f8995e-cfab-423c-b600-0216e7842d15,Richard,Jones,michael72@example.net,752-957-4954x271,94234 Larsen Shores,Mooreport,West Virginia,71697,Kazakhstan,"Robinson, Combs and Morales",Associate Professor,2024-05-06,2025-01-29,should,2343.74,Baja,Transferencia,False,Health Democrat foreign describe already.,2006-05-28,M,Bajo,5,False,-8,35%,VIP,Daniel Miller,Oeste
