id,nombre,apellido,email,telefono,direccion,ciudad,estado,codigo_postal,pais,empresa,puesto,fecha_registro,fecha_ultima_compra,producto_favorito,monto_total_compras,frecuencia_compra,metodo_pago,activo,notas,fecha_nacimiento,genero,nivel_ingresos,nivel_satisfaccion,cliente_recurrente,nps,descuento,tipo_cliente,referido_por,region
dd1d017f-7f73-4427-aaa4-a17160dacf4e,Mathew,Edwards,etaylor@example.com,913.886.8121x97806,1386 Cox Camp,Bettybury,North Dakota,05616,Saint Vincent and the Grenadines,"Cruz, Wang and Andrews","Geologist, engineering",2025-04-26,2024-10-17,pass,6120.42,Alta,Tarjeta,False,Difference situation address down.,1984-04-08,F,Medio,9,False,20,49%,VIP,Ryan Estes,Sur
8bed8c5c-33ad-48d4-a78b-b3b5fa1bdc64,James,Russo,ujones@example.org,001-302-602-7005x66755,82663 Mccarthy Haven Apt. 882,East Candaceborough,New Mexico,44508,Cuba,Orozco LLC,Textile designer,2024-03-22,2024-10-01,none,1066.08,Baja,Efectivo,True,Tv fall off matter.,1975-08-31,Otro,Alto,6,True,-100,10%,Potencial,David Underwood,Sur
fd772c6f-0097-45e6-853b-97e1afda9a6a,Brian,Daniels,melissa48@example.org,522.942.0243x82028,39374 Williams Street Suite 305,North Amy,Delaware,27896,Kazakhstan,Cruz LLC,"Editor, film/video",2023-07-31,2024-10-29,let,3770.44,Baja,PayPal,False,Yet recent despite skill others manager.,1967-04-04,F,Alto,4,False,12,38%,Leal,Dawn Hawkins,Este
758abcc7-9a15-4b10-9752-7f1b762470ea,Christine,Oliver,christina35@example.org,841.328.5363,9655 Sanders Square,Waltonfort,Oregon,81369,China,"Hahn, Thompson and Acosta",Textile designer,2023-09-14,2024-08-23,son,6922.93,Alta,Efectivo,False,Message material relate special evidence study.,2004-03-02,F,Bajo,7,True,51,34%,Nuevo,Andrew Scott,Norte
d11c8694-0e48-4e36-bd34-9f78494597ab,Paula,Fields,pruittamanda@example.org,396.474.6117x34641,13392 Crawford Court Suite 758,Danaton,Oregon,80327,Bolivia,"Anderson, Hanson and Grimes","Editor, magazine features",2024-02-08,2025-04-28,along,8521.2,Media,Transferencia,True,Enjoy suffer summer less short finally front.,1962-02-27,F,Alto,2,True,50,31%,VIP,Carlos Rodriguez,Norte
8b2a9034-a86b-47c3-8594-46e90a7bc7e6,Natalie,Brown,gainesallison@example.org,511-818-6398x59878,136 John Viaduct Suite 045,Woodberg,Ohio,19206,Mauritius,Wolf and Sons,Health promotion specialist,2023-08-11,2024-05-04,husband,6654.02,Alta,Transferencia,False,With lawyer kid art kind authority modern.,1955-12-26,F,Bajo,8,True,89,45%,Potencial,Timothy Landry,Internacional
31ba1779-687b-4e01-8b0f-14673eec1c54,Crystal,Chapman,brian43@example.com,(670)409-8548x3852,1849 Jacqueline Union Suite 305,West Meganton,Nevada,43621,Guinea-Bissau,Hays and Sons,Newspaper journalist,2024-11-17,2024-05-13,character,4126.42,Media,PayPal,False,Talk people score bill series interesting step.,1959-01-01,Otro,Alto,5,True,-65,45%,Leal,Paul Sloan,Oeste
d0b57f65-5fc9-44a4-aff7-634354ef556e,Jennifer,Martin,youngdeanna@example.com,260.503.4387x49966,49893 Howard Mission,Kaisermouth,Nebraska,59448,Nigeria,Blair Group,Surgeon,2023-08-03,2024-06-14,should,2025.79,Media,Transferencia,True,Live federal left out industry inside reality.,2001-09-05,Otro,Medio,3,True,-22,30%,Potencial,Jake Garcia,Sur
d96758ef-7dd1-462e-8d9a-3f63dc8d8e78,Scott,Banks,susan58@example.org,584.691.2273x7504,6188 Webb Via,South Darleneberg,Indiana,18457,Ukraine,Walker and Sons,IT sales professional,2023-06-29,2024-05-25,author,5458.56,Media,PayPal,False,Deal development day your thus where.,1993-08-14,Otro,Bajo,9,True,38,20%,Leal,Marcus Rodriguez,Norte
c7c5d8eb-7367-4df7-85e5-27db07773a84,Dustin,Brown,sarahmorris@example.com,+1-560-562-6927x68603,549 Davis Curve Suite 916,Port Melissamouth,Kansas,38403,Equatorial Guinea,"Schmidt, Lowery and Campos",Sports coach,2025-03-23,2024-09-27,everything,6412.42,Alta,Tarjeta,True,Let sure meet matter impact many.,1972-10-27,M,Bajo,3,True,93,45%,Potencial,Kyle Kelly,Internacional
e3c63a9b-c07f-488b-844d-77e1e141bbf7,Greg,Allen,williamsryan@example.net,(495)617-3303x084,6939 Andrea Ville,Gregoryland,New Jersey,17331,Libyan Arab Jamahiriya,Sanchez-Stanley,Museum/gallery curator,2024-11-11,2024-08-30,him,3085.24,Alta,Efectivo,False,Big yourself forward best season.,1988-12-23,Otro,Alto,3,True,25,24%,Potencial,Tammy Green,Sur
b2631ca2-bce4-4beb-87bf-f634d6de213b,Cynthia,Taylor,nicole68@example.net,533-814-2364x089,611 Gonzalez Valleys Suite 704,Morrisland,Oklahoma,46006,Romania,Bruce-Hunter,Acupuncturist,2025-04-09,2025-01-16,risk,3610.61,Alta,Efectivo,True,Provide sing very.,1970-07-19,M,Bajo,2,False,59,20%,Leal,Joshua Schneider,Sur
1e4eabb6-2c21-487f-a1c9-90b63399f875,Ashley,Harvey,danapowell@example.com,001-332-291-6873x190,014 John Brooks,South Laurenburgh,Hawaii,16366,Brazil,Stone-Luna,Communications engineer,2023-11-02,2024-04-30,education,4865.16,Alta,Tarjeta,True,Opportunity coach meet key always.,1986-11-18,M,Alto,8,False,0,16%,Nuevo,Joseph Bryant,Este
95824b01-0d6c-4fe0-a6fd-202d4e4fe914,Andrew,Duke,ymartin@example.com,001-990-606-0641x734,8201 Velez Mews,West Susanshire,Massachusetts,77148,Malaysia,Johnson-Fox,"Pharmacist, community",2024-10-19,2025-01-16,particular,3192.3,Media,Tarjeta,False,Majority style character some good this player.,1968-08-21,M,Bajo,1,False,-81,37%,VIP,James Spencer,Internacional
014c3f58-c069-4a2a-bb83-309ef67169e7,Elizabeth,Bridges,mcdonaldjill@example.com,247.288.2383x40479,759 Jose Streets Apt. 450,North Zacharyhaven,Kentucky,14719,Latvia,Moody-Sullivan,Counselling psychologist,2024-03-09,2025-03-18,color,2168.38,Alta,Efectivo,True,Author must management bill.,1978-07-12,M,Alto,5,False,-59,5%,Leal,Steven Kelly,Internacional
474826dd-0353-42bf-b7a5-f4641708f0fa,Michael,Ortiz,jessica09@example.org,(716)913-5977x87986,547 David Shoal Suite 271,Matthewview,Massachusetts,47813,Togo,Munoz Ltd,Petroleum engineer,2024-06-05,2025-04-01,ground,4604.04,Media,PayPal,False,Throw score consider bar.,1962-10-12,M,Medio,5,False,60,34%,Leal,Dustin Rios,Este
